Time,AVz,Ay,Steer_SW
          2.8, -0.00159411563072, 0.000141255644849, -2.44280385971
        2.825, -0.00193034508266, 0.000116556548164, -2.44161438942
         2.85, -0.00222032214515, 9.29453162826e-05, -2.44029188156
        2.875, -0.00246205250733, 7.08812003722e-05, -2.43885993958
          2.9, -0.00265487027355, 5.09606579726e-05, -2.43734121323
        2.925, -0.00279842806049, 3.30613693222e-05, -2.4357612133
         2.95, -0.00289168977179, 1.71135670826e-05, -2.43414759636
        2.975, -0.00293292920105, 3.1293388929e-06, -2.43252849579
            3, -0.00292169698514, -8.89363673195e-06, -2.43093132973
        3.025, -0.00284777651541, -1.56182920819e-06, -2.37739253044
         3.05, -0.00227388716303, 0.000169524588273, -2.08915638924
        3.075, 0.000356626696885, 0.000654353352729, -1.47843670845
          3.1, 0.00766481924802, 0.0015646830434, -0.466887116432
        3.125, 0.0234047044069, 0.00301183527336, 1.02053940296
         3.15, 0.052184946835, 0.00500160455704, 3.05484271049
        3.175, 0.0993480235338, 0.00766454171389, 5.70268917084
          3.2, 0.171065747738, 0.0111322859302, 9.02581596375
        3.225, 0.274083554745, 0.0155445123091, 13.0803785324
         3.25, 0.415580034256, 0.02106067352, 17.9163703918
        3.275, 0.603079020977, 0.027850644663, 23.5752277374
          3.3, 0.844343781471, 0.0360508933663, 30.0359420776
        3.325, 1.14685463905, 0.0456807129085, 37.2050323486
         3.35, 1.51660203934, 0.0564568899572, 44.9782714844
        3.375, 1.95642566681, 0.0681618303061, 53.2471046448
          3.4, 2.46768283844, 0.080979667604, 61.9007873535
        3.425,   3.049888134, 0.0947045311332, 70.8269271851
         3.45, 3.69898486137, 0.108557581902, 79.9137496948
        3.475, 4.40689754486, 0.12295743078, 89.0551757812
          3.5, 5.16685199738, 0.137865155935, 98.1499328613
        3.525, 5.96925592422, 0.15335457027, 107.102180481
         3.55, 6.80631113052, 0.169721961021, 115.804542542
        3.575, 7.66996240616, 0.186752095819, 124.109794617
          3.6, 8.55108451843, 0.204274624586, 131.870544434
        3.625,   9.441365242, 0.222270548344,  138.94744873
         3.65, 10.3290071487, 0.239872053266, 145.211044312
        3.675, 11.2002639771, 0.257282733917, 150.546524048
          3.7, 12.0443716049, 0.274995058775, 154.852661133
        3.725, 12.8526363373, 0.292509615421, 158.038406372
         3.75, 13.6194591522, 0.309438318014, 160.022109985
        3.775, 14.3373451233, 0.326163381338, 160.730651855
          3.8, 14.9976425171, 0.342555105686, 160.105102539
        3.825,  15.591925621, 0.358335793018, 158.134780884
         3.85, 16.1133174896, 0.373235553503, 154.834136963
        3.875, 16.5572414398, 0.386561870575, 150.223327637
          3.9, 16.9254722595, 0.397182494402, 144.326202393
        3.925,  17.217130661, 0.406493782997, 137.167770386
         3.95, 17.4229927063, 0.414345234632, 128.776687622
        3.975, 17.5344028473, 0.421273112297, 119.187553406
            4, 17.5446186066, 0.426881849766, 108.438179016
        4.025, 17.4506855011, 0.430920749903, 96.5673294067
         4.05, 17.2469062805, 0.432906478643, 83.6160736084
        4.075, 16.9291152954, 0.432916462421, 69.6752624512
          4.1, 16.4890289307, 0.43067869544, 54.9108963013
        4.125, 15.9140510559, 0.426951438189, 39.4990997314
         4.15, 15.1971664429, 0.419719934464,  23.617515564
        4.175, 14.3431186676, 0.409129291773, 7.44332742691
          4.2,  13.362490654, 0.394642829895, -8.84841346741
        4.225, 12.2678518295, 0.377486109734, -25.0812168121
         4.25, 11.0723438263, 0.358397066593, -41.0785293579
        4.275, 9.78542137146, 0.337500452995, -56.6644287109
          4.3, 8.41146373749,  0.3148047328, -71.6615753174
        4.325, 6.95152568817, 0.290360748768, -85.8968429565
         4.35, 5.40834236145, 0.265028476715, -99.2445678711
        4.375, 3.79241752625, 0.239679485559, -111.604660034
          4.4, 2.11984539032, 0.213974133134, -122.890144348
        4.425, 0.409374088049, 0.188183486462, -133.028717041
         4.45, -1.31719481945, 0.162486761808, -141.96446228
        4.475, -3.03788566589, 0.136404752731, -149.660125732
          4.5, -4.73541021347, 0.110053025186, -156.093505859
        4.525, -6.39105319977, 0.0801533162594, -161.255996704
         4.55, -7.97581529617, 0.0484835542738, -165.152999878
        4.575, -9.48091888428, 0.0165893249214, -167.803771973
          4.6, -10.9009943008, -0.0148404091597, -169.243408203
        4.625, -12.2312736511, -0.0468878522515, -169.522628784
         4.65, -13.4631252289, -0.0788812115788, -168.700485229
        4.675, -14.5937395096, -0.110995195806, -166.842758179
          4.7, -15.614689827, -0.14488838613, -164.020401001
        4.725, -16.5107784271, -0.179795116186, -160.310333252
         4.75, -17.2709445953, -0.216545268893, -155.79737854
        4.775, -17.8811187744, -0.253672003746, -150.572738647
          4.8, -18.3437004089, -0.287953674793, -144.732574463
        4.825, -18.6718635559, -0.319020837545, -138.37272644
         4.85, -18.8791007996, -0.345731347799, -131.585784912
        4.875, -18.9874477386, -0.367199748755, -124.456787109
          4.9, -19.0178947449, -0.385680258274, -117.060516357
        4.925, -18.976020813, -0.403030544519, -109.462623596
         4.95, -18.8623199463, -0.418954819441, -101.722099304
        4.975, -18.6790828705, -0.433474689722, -93.8923339844
            5, -18.4274578094, -0.446391940117, -86.021232605
        5.025, -18.1090984344, -0.457520335913, -78.1520080566
         5.05, -17.7262744904, -0.466592222452, -70.3238983154
        5.075, -17.2826404572, -0.473281234503, -62.5727424622
          5.1, -16.7829036713, -0.47770100832, -54.9310531616
        5.125, -16.2295036316, -0.480001866817, -47.4272842407
         5.15, -15.618727684, -0.481264203787, -40.0862083435
        5.175, -14.9504108429, -0.479019463062, -32.927192688
          5.2, -14.2306566238, -0.472569316626, -25.9663009644
        5.225, -13.4669589996, -0.462790071964, -19.2235851288
         5.25, -12.6694412231, -0.451177865267, -12.7241649628
        5.275, -11.8462791443, -0.438879698515, -6.4955739975
          5.3, -11.003405571, -0.426365166903, -0.565717875957
        5.325, -10.1455802917, -0.414056539536, 5.03924655914
         5.35, -9.27517223358, -0.402024924755, 10.2963809967
        5.375, -8.39432525635, -0.389924287796, 15.1812877655
          5.4, -7.50661039352, -0.377373456955,  19.665605545
        5.425, -6.61682891846, -0.363876968622, 23.7242889404
         5.45, -5.73087596893, -0.34938660264, 27.3354110718
        5.475, -4.85529994965, -0.333992451429, 30.4805183411
          5.5, -3.99717497826, -0.317478001118, 33.1447792053
        5.525, -3.16399407387, -0.300210893154, 35.3173103333
         5.55, -2.36010122299, -0.282693207264, 36.9911842346
        5.575, -1.58966863155, -0.264941871166, 38.1629486084
          5.6, -0.856010973454, -0.24728398025, 38.8327522278
        5.625, -0.162098899484, -0.228874713182, 38.9859466553
         5.65, 0.478563189507, -0.209199339151, 38.5571937561
        5.675, 1.06109714508, -0.190177544951, 37.4774284363
